 MRA_Host71 , ID: 70 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 71 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host72 , ID: 71 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 72 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host73 , ID: 72 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 73 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host74 , ID: 73 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 74 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host75 , ID: 74 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 75 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host76 , ID: 75 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 76 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host77 , ID: 76 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 77 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host78 , ID: 77 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 78 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host79 , ID: 78 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 79 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host80 , ID: 79 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 80 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host81 , ID: 80 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 81 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host82 , ID: 81 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 82 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host83 , ID: 82 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 83 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host84 , ID: 83 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 84 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host85 , ID: 84 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 85 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host86 , ID: 85 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 86 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host87 , ID: 86 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 87 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host88 , ID: 87 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 88 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host89 , ID: 88 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 89 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host90 , ID: 89 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 90 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host91 , ID: 90 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 91 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host92 , ID: 91 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 92 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host93 , ID: 92 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 93 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host94 , ID: 93 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 94 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host95 , ID: 94 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 95 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host96 , ID: 95 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 96 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host97 , ID: 96 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 97 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host98 , ID: 97 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 98 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host99 , ID: 98 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 99 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host100 , ID: 99 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 100 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host101 , ID: 100 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 101 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host102 , ID: 101 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 102 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host103 , ID: 102 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 103 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host104 , ID: 103 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 104 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host105 , ID: 104 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 105 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host106 , ID: 105 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 106 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host107 , ID: 106 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 107 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host108 , ID: 107 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 108 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host109 , ID: 108 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 109 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host110 , ID: 109 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 110 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host111 , ID: 110 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 111 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host112 , ID: 111 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 112 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host113 , ID: 112 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 113 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host114 , ID: 113 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 114 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host115 , ID: 114 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 115 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host116 , ID: 115 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 116 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host117 , ID: 116 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 117 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host118 , ID: 117 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 118 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host119 , ID: 118 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 119 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host120 , ID: 119 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 120 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host121 , ID: 120 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 121 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host122 , ID: 121 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 122 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host123 , ID: 122 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 123 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host124 , ID: 123 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 124 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host125 , ID: 124 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 125 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host126 , ID: 125 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 126 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host127 , ID: 126 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 127 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host128 , ID: 127 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 128 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host129 , ID: 128 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 129 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host130 , ID: 129 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 130 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host131 , ID: 130 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 131 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host132 , ID: 131 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 132 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host133 , ID: 132 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 133 	 Pre_ex: 208 	 Tem_Cor: 624
